street,city
29 Butler St,Clifton
13 Bender Dr,Clifton
1485 Ratzer Rd,Wayne
52 Dawson Ave,Clifton
162 Terrace Ct,Pompton_Lakes
113 Greglawn Dr,Clifton
326 Vernon Ave,Paterson
15 John St,West_Milford
10 Oakwood Ter,Bloomingdale
12 Ravine Dr W,Hawthorne
48 Scoles Ave,Clifton
38 Camelot Dr,West_Milford
233 Hamilton Ave,Clifton
17 Portland Ave,Clifton
23 Mountainside Dr #302,Pompton_Lakes
Address Not Disclosed,Paterson
85 Charles St,Clifton
44 Ronald Dr,Clifton
419 Harrison St,Passaic
112 Riverdale Blvd,Pompton_Lakes
151 Redwood Ave,Paterson
30 Luddington Ave,Clifton
29 Ethel Dr,Little_Falls
49 Ryle Ave,Paterson
142 Walnut St,Paterson
651 E 25th St,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
396 E 30th St,Paterson
365 E 30th St,Paterson
12 Elm St,Paterson
151 Ryerson Ave,Paterson
339 Paxton St,Paterson
383 Pacific St,Paterson
105 Lyon St,Paterson
79 Garfield Ave,Paterson
167 Pearl St,Paterson
6 Barnert Pl,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
162 E 17th St,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
118 Wayne Ave,Paterson
40 19th Ave,Paterson
14 12th Ave,Paterson
Address Not Disclosed,Paterson
102 16th Ave,Paterson
158 Wabash Ave,Paterson
Address Not Disclosed,Paterson
139 Park Ave,Paterson
Address Not Disclosed,Paterson
105 Lyon St,Paterson
596 Terhune Dr,Wayne
50 Eider Ct,Wayne
143 Brighton Rd,Clifton
63 Lilly Rd,Wanaque
3 Tanager Ct,Wayne
3315 Warrens Way,Wanaque
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
14 Summer Hill Rd,Wayne
Address Not Disclosed,Paterson
143 Pine Tree Rd,Bloomingdale
25 Pearl St,Bloomingdale
196 Columbia Ave,Passaic
4111 Warrens Way,Wanaque
99 Miller Ln,Ringwood
2 Iron Forge Sq,Pompton_Lakes
Address Not Disclosed,Paterson
39 Braen Ave,Hawthorne
46 Allison Ave,West_Milford
39 Aycrigg Ave,Passaic
38 Vreeland Ave,Passaic
35 Center St,Clifton
Address Not Disclosed,Paterson
11 N 17th St,Prospect_Park
14 Roseland Ave,Wanaque
870 Rifle Camp Rd,Woodland_Park
34 Boulder Run Rd #167,Paterson
118 Cathay Rd,Clifton
45 Kaywin Ave,Hawthorne
69 Easedale Rd,Wayne
99 Central Ave,North_Haledon
224 Pompton Rd,Haledon
19 Dumont Ave,Clifton
19 Roy Ct,Clifton
105 Bloomfield Ave,Paterson
16 Vineyard Pl,Passaic
12B Colonial Dr #122,Little_Falls
1007 Ringwood Ave,Wanaque
8 Van Dam Ave,Bloomingdale
658 Lincoln Ave,Pompton_Lakes
224 Michigan Ave #1,Paterson
87 E 4th St,Clifton
2 Mullen Ave,Wanaque
66 Turnberry Rd,Little_Falls
47 Battle Ridge Trl,Totowa
181 Llewellyn Ave,Hawthorne
8611 Brittany Dr,Wayne
470 Madison Ave,Paterson
13 Clinton Rd,West_Milford
1118 Colfax Ave,Pompton_Lakes
24 River Rd #F647,Clifton
5 Salem Rd,Paterson
Address Not Disclosed,Paterson
 Unit I-013,Clifton
479 Conklintown Rd,Ringwood
151 Greendale Dr,West_Milford
108 Urban Club Rd,Wayne
107 Gordon Ave,Totowa
 Unit 42,Wayne
Address Not Disclosed,Paterson
95 N Main St,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
39 Quinn St,Paterson
14 Green St,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
157 Sheridan Ave,Paterson
105 Bloomfield Ave,Paterson
228 E 19th St,Paterson
983 E 19th St,Paterson
328 Park Ave,Paterson
13 Sheridan Ave,Paterson
15 Crystal Ln #307,Paterson
371 9th Ave,Paterson
271 6th Ave,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
25 Colonial Ave,Paterson
114 Park Ave,Paterson
102 16th Ave,Paterson
158 Wabash Ave,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
39 E 39th St #302,Paterson
Address Not Disclosed,Paterson
95 N Main St,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
39 Quinn St,Paterson
14 Green St,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
157 Sheridan Ave,Paterson
105 Bloomfield Ave,Paterson
228 E 19th St,Paterson
983 E 19th St,Paterson
328 Park Ave,Paterson
13 Sheridan Ave,Paterson
15 Crystal Ln #307,Paterson
371 9th Ave,Paterson
271 6th Ave,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
25 Colonial Ave,Paterson
114 Park Ave,Paterson
102 16th Ave,Paterson
158 Wabash Ave,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
39 E 39th St #302,Paterson
96 Lyall Rd,Clifton
241 Wall Ave,Paterson
5 Ramapo Pl,Ringwood
7 Nimitz Rd,Wayne
142 Point Breeze Dr,West_Milford
281 Charles St,Clifton
55 Ralph St,Wayne
31 Concord Rd #A,West_Milford
29 Grandview Dr,Woodland_Park
10 Gourley St,Passaic
63 Bayonne Dr,West_Milford
4 Delaware Dr,Wayne
195 Marietta Ave,Passaic
129 Riverwalk Way #A010,Clifton
67 Ricker Dr,Ringwood
7 Autumn Ct,West_Milford
240 Park Ave,Passaic
601 Belmont Ave,Haledon
25 Witherspoon Rd,Clifton
91 Haussler Ter,Clifton
23 Quinty Pl,West_Milford
58 Lakeshore Dr,Prospect_Park
Address Not Disclosed,Paterson
127 W 4th St,Clifton
35 Peach Ln,West_Milford
 Unit 7a,Little_Falls
236 Macdonald Dr,Wayne
78 Rutherford Blvd,Clifton
164 Manchester Ave,North_Haledon
24 Schnell Ct,North_Haledon
2 Richmond Rd #120,West_Milford
4 Hawthorne Rd,West_Milford
526 Broadway,Passaic
28 Highview Ave,Totowa
206 E 9th St,Clifton
34 Alana Dr,Hawthorne
173 Van Riper Ave,Clifton
156 Chittenden Rd,Clifton
267 Hamilton Ave,Paterson
187 Cambridge Ct #G087,Clifton
22 Dolores Dr,Ringwood
43 Stewart Ave,Little_Falls
15 Poplar St,Pompton_Lakes
89 Bender Dr,Clifton
47 N 15th St,Hawthorne
1079 Valley Rd,Wayne
159 Burnt Meadow Rd,Ringwood
314 Rea Ave,Hawthorne
239 Skyline Lake Dr,Ringwood
20 Dupont Ave,Wanaque
401 Ridge Rd,West_Milford
85 Ashburn Rd,Wayne
5 Wester Pl,Clifton
123 Butternut Dr,Wayne
82 Saw Mill Rd,North_Haledon
116 Edgewood Ave,Clifton
 Unit 204,Wayne
66 Brandon Ave,Wayne
159 Edison St,Clifton
11 Chestnut St,Bloomingdale
49 Dowling Pkwy,Woodland_Park
29 Newton Rd,Wayne
1 Highland Ave,West_Milford
301 Ringwood Ave #A001,Pompton_Lakes
141 Highland Ave,Passaic
69 Clinton Ave,Clifton
88 Easedale Rd,Wayne
244 9th Ave,Hawthorne
87 Sherman Ave,Paterson
32 Grand St,Wayne
 Unit 164,Wayne
14 Beech St,Passaic
22 Knolls Rd,Bloomingdale
51 Mill Pond Rd #211,Woodland_Park
277 Broadway,Passaic
38 Avenue B,Haledon
Address Not Disclosed,Paterson
119 Watervliet Ave,Pompton_Lakes
65 Christie Ave,Clifton
557 McKinley St,Passaic
21 Valley View Ave,Bloomingdale
733 E 26th St,Paterson
979 Union Valley Rd,West_Milford
90 Charles St,Bloomingdale
Address Not Disclosed,Paterson
226 Webster Dr,Wayne
22 Vetrone Dr,Woodland_Park
38 Windbeam Ln,Ringwood
790 Madison Ave,Paterson
122 Ridge Dr,Pompton_Lakes
417 Harrison St,Passaic
255 Brook Ave,Passaic
54 Linden St,Passaic
23 Minnisink Rd,Wayne
111 Sherman Ave,Hawthorne
1 Sandra Ln,Bloomingdale
34 Woodward Ave,Bloomingdale
2 Richmond Rd #219,West_Milford
91 George Russell Way #340,Clifton
240 Riverwalk Way #M139,Clifton
Address Not Disclosed,Paterson
12 Roy Ave,Bloomingdale
5 Winslow Pl,Woodland_Park
41 Quigley Rd,West_Milford
497 Market St,Paterson
220 Luddington Ave,Clifton
736 Ramapo Ave,Pompton_Lakes
32 Boulder Run Rd #165,Paterson
Address Not Disclosed,Paterson
106 Ridge Pl,Wayne
133 Skyline Lake Dr,Ringwood
77 Scrivens St,Totowa
75 Alder Ave,Wayne
32 Quincy St,Passaic
90 Suncrest Ave,North_Haledon
17D Colonial Dr #174,Little_Falls
27 Zeim Dr,Clifton
15 Tufts Rd,Clifton
317 Delawanna Ave,Clifton
217 W 3rd St,Clifton
 Unit 310,Little_Falls
60 Oakwood Dr,Wayne
67 Jacobus Ave,Little_Falls
32 Forest Ter,Wayne
Address Not Disclosed,Paterson
42 Rhinesmith Ave,Wanaque
151 Upper Greenwood Lake Rd,West_Milford
48 Alvin Rd,West_Milford
34 Oregon St,Clifton
812 E 23rd St,Paterson
453 Preakness Ave,Paterson
28 Nottingham Ter,Clifton
21 Hillside Dr,Totowa
11 Eros Ct,Wayne
6 Greenmeadow Ln,Clifton
1698 Ratzer Rd,Wayne
114 Beverly Hill Rd,Clifton
9 Mayfair Dr,Wayne
7206 Ravenscroft Rd #563,Clifton
49 Rossiter Ave,Paterson
23 Fernwood Ct,Clifton
13 Minnisink Rd,Totowa
84 Highview Dr,Clifton
81 Bergen Ave,Wanaque
49 Parkside Ct,Wayne
39 Wilson Ave,Totowa
2 Rea Ave,Hawthorne
112 Rosa Parks Blvd,Paterson
38 Silleck St,Clifton
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
95 N Main St,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
39 Quinn St,Paterson
14 Green St,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
157 Sheridan Ave,Paterson
105 Bloomfield Ave,Paterson
228 E 19th St,Paterson
983 E 19th St,Paterson
328 Park Ave,Paterson
13 Sheridan Ave,Paterson
15 Crystal Ln #307,Paterson
371 9th Ave,Paterson
271 6th Ave,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
25 Colonial Ave,Paterson
114 Park Ave,Paterson
102 16th Ave,Paterson
158 Wabash Ave,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
39 E 39th St #302,Paterson
Address Not Disclosed,Paterson
95 N Main St,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
39 Quinn St,Paterson
14 Green St,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
157 Sheridan Ave,Paterson
105 Bloomfield Ave,Paterson
228 E 19th St,Paterson
983 E 19th St,Paterson
328 Park Ave,Paterson
13 Sheridan Ave,Paterson
15 Crystal Ln #307,Paterson
371 9th Ave,Paterson
271 6th Ave,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
25 Colonial Ave,Paterson
114 Park Ave,Paterson
102 16th Ave,Paterson
158 Wabash Ave,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
Address Not Disclosed,Paterson
39 E 39th St #302,Paterson
69 Marcellus Ave,Woodland_Park
37 Jani Ct,Clifton
Address Not Disclosed,Paterson
17 Hightop Rd,West_Milford
41 Foster St,Clifton
 Unit 210,Little_Falls
64 Trenton Ave,Paterson
18 Scoles Pl,Passaic
45 Brooksyde Ave,Ringwood
99 E 7th St,Clifton
1047 Colfax Ave,Pompton_Lakes
255 Harrison St,Passaic
74 Ford St,Wayne
162 E 17th St,Paterson
Address Not Disclosed,Paterson
 Unit 19e,Passaic
428 Midland Ave,Pompton_Lakes
13 Longstreak Rd,West_Milford
Address Not Disclosed,Paterson
510 E 40th St,Paterson
115 Fayette Ave,Wayne
179 Union Ave,Clifton
72 E 8th St,Clifton
220 Rockburn Pass,West_Milford
8603 Brittany Dr,Wayne
14 Falls Bridge Dr #158A,Totowa
1 Courter Ave,Wayne
305 Preakness Ave,Paterson
123 E 7th St,Clifton
6 Cambridge Pl,Wayne
